name,type,country,length,release_time,score,score_num,box_office
碟中谍6：全面瓦解,"动作,惊悚,冒险",美国,148分钟,2018-08-31,9.0,52300000,124500000000
角头2：王者再起,"剧情,动作,犯罪",中国台湾,127分钟,2018-02-15,0.0,0,0
巨齿鲨,"动作,冒险,科幻","美国,中国香港,中国大陆",115分钟,2018-08-10,8.7,64800000,105200000000
地球最后的夜晚,"剧情,爱情,悬疑",中国大陆,138分钟,2018-12-31,2.6,53700000,28200000000
爱情公寓,"喜剧,爱情",中国大陆,116分钟,2018-08-10,6.8,121400000,55500000000
哥斯拉：噬星者,"动作,科幻,动画",日本,90分钟,2018-11-03,0.0,0,0
昨日青空,"剧情,动画",中国大陆,85分钟,2018-10-26,8.5,11200000,838300000
幕后玩家,"剧情,悬疑,犯罪",中国大陆,114分钟,2018-04-28,8.4,21900000,35900000000
黑豹,"剧情,动作,科幻","美国,南非,韩国,澳大利亚",134分钟,2018-03-09,8.4,50700000,66300000000
蚁人2：黄蜂女现身,"动作,冒险,科幻",美国,119分钟,2018-08-24,8.8,42900000,83200000000
来电狂响,"剧情,喜剧",中国大陆,103分钟,2018-12-28,8.6,37300000,64000000000
捉妖记2,"喜剧,奇幻","中国大陆,中国香港",110分钟,2018-02-16,8.1,163700000,223700000000
叶问外传：张天志,动作,"中国大陆,中国香港",107分钟,2018-12-21,9.0,10100000,13200000000
检查方的罪人,"剧情,悬疑,犯罪",日本,123分钟,2018-08-24,0.0,0,0
阿修罗,"动作,爱情,奇幻",中国大陆,141分钟,2018-07-13,6.4,63498,498400000
无问西东,"爱情,战争",中国大陆,138分钟,2018-01-12,8.6,51400000,75400000000
超时空同居,"喜剧,爱情,奇幻",中国大陆,101分钟,2018-05-18,8.7,65400000,90000000000
邪不压正,"剧情,喜剧,动作",中国大陆,137分钟,2018-07-13,7.4,41100000,58400000000
找到你,剧情,中国大陆,102分钟,2018-10-05,8.9,20300000,28500000000
昆池岩,"恐怖,惊悚",韩国,94分钟,2018-03-28,0.0,0,0
狂暴巨兽,"动作,冒险,科幻",美国,107分钟,2018-04-13,8.9,86400000,100400000000
无敌破坏王2：大闹互联网,"喜剧,动画,冒险",美国,113分钟,2018-11-23,8.8,12400000,27100000000
天气预爆,"剧情,喜剧,奇幻",中国大陆,104分钟,2018-12-21,6.8,84638,12400000000
死侍,"动作,冒险,喜剧","美国,加拿大",108分钟,2018-04-15,8.7,8972,363000000
李茶的姑妈,喜剧,中国大陆,113分钟,2018-09-30,7.9,4000000,60400000000
哥斯拉：怪兽行星,"动画,动作,科幻",日本,88分钟,2018-09-21,7.8,2436,16200000
